id,en,no
zone.above.default.1,Ease back slightly.,Ro ned litt.
zone.below.default.1,Pick it up.,Øk litt nå.
zone.in_zone.default.1,Stay right here.,Bli her.
zone.silence.default.1,Find your pace.,Finn rytmen.
zone.silence.rest.1,Relax your shoulders.,Senk skuldrene.
zone.silence.work.1,Hold the rhythm.,Hold rytmen.
zone.structure.finish.1,Final push now!,Trykk til nå!
zone.structure.recovery.1,Ease back and recover.,Ro ned og hent deg inn.
zone.structure.steady.1,Settle into the pace.,Finn rytmen.
zone.structure.steady.2,Stay with the rhythm.,Bli i rytmen.
zone.structure.steady.3,Stay smooth and relaxed.,Rolig og avslappet.
zone.structure.steady.4,Control the effort here.,Kontroll på innsatsen.
zone.structure.steady.5,Keep the pace steady.,Hold tempoet jevnt.
zone.structure.steady.6,Hold the phase.,Hold det her.
zone.structure.work.1,Pick it up now.,Kjør på nå.
zone.hr_poor_enter.1,Heart rate signal is weak.,Pulssignalet er svakt.
zone.hr_poor_exit.1,Heart rate is back.,Pulsen er tilbake.
zone.hr_poor_timing.1,No heart rate signal. I will continue coaching,Ingen pulssignal. Jeg fortsetter å coache
zone.main_started.1,Main set now.,Nå er du i hoveddelen.
zone.pause.detected.1,Paused session,Pauset økten.
zone.pause.resumed.1,You're moving again.,Du er i gang igjen.
zone.phase.cooldown.1,Cooldown now.,Nå roer vi ned.
zone.phase.rest.1,Recovery now.,Pause nå.
zone.phase.warmup.1,Prepare for the session.,Forbered deg på økten.
zone.phase.work.default.1,Work starts now.,Nå begynner innsatsen.
zone.phase.work.motivational.1,Time to work.,Nå jobber vi.
zone.countdown.15,15,15
zone.countdown.30,30 seconds left.,30 sekunder.
zone.countdown.5,5!,fem
zone.countdown.start,Go,Start
zone.workout_finished.1,Workout finished. Nice work.,Økten er ferdig. Bra jobbet.
easy_run.motivate.s1.1,Focus on breath and rhythm.,Fokuser på pust og rytme.
easy_run.motivate.s1.2,Settle your pace.,Finn ditt tempo.
easy_run.motivate.s2.1,Good rhythm.,Bra rytme.
easy_run.motivate.s2.2,Keep it steady.,Hold det jevnt.
easy_run.motivate.s3.1,Nice work!,Bra jobba!
easy_run.motivate.s3.2,Keep it strong.,Hold det sterkt.
easy_run.motivate.s4.1,Stay smooth.,Hold det rolig.
easy_run.motivate.s4.2,Keep it steady.,Hold det jevnt.
interval.motivate.s1.1,Control your breath.,Kontroller pusten.
interval.motivate.s1.2,Good start.,God start.
interval.motivate.s2.1,Nice work.,Bra jobba.
interval.motivate.s2.2,Hold the rhythm.,Hold rytmen.
interval.motivate.s3.1,Perfect!,Herlig!
interval.motivate.s3.2,Stay with it!,Stå i det!
interval.motivate.s4.1,Finish strong!,Kjør på nå!
interval.motivate.s4.2,All the way in.,Helt inn!
zone.no_sensors.1,Coaching by breath.,Coacher med pust.
zone.watch_disconnected.1,Watch disconnected,Pulsklokken ble frakoblet.
zone.watch_restored.1,Watch connected and heart rate is back.,"Klokken er tilkoblet, og pulsen er tilbake."
